dictionary=main:en,locale=en,description=English,date=1414726273,version=54
 word=the,f=111
 word=of,f=107
 word=to,f=107
 word=and,f=106
 word=in,f=105
 word=a,f=104
 word=this,f=100
 word=I,f=98
 word=for,f=98
 word=as,f=98
 word=by,f=97
 word=on,f=97
 word=with,f=97
 word=that,f=96
 word=at,f=95
 word=from,f=95
 word=his,f=95
 word=an,f=93
 word=he,f=93
 word=which,f=92
 word=it,f=92
 word=or,f=92
 word=one,f=91
 word=but,f=90
 word=we,f=90
 word=first,f=90
 word=any,f=89
 word=have,f=89
 word=not,f=89
 word=their,f=89
 word=who,f=89
 word=her,f=88
 word=two,f=88
 word=after,f=87
 word=get,f=87
 word=into,f=87
 word=other,f=87
 word=they,f=87
 word=time,f=87
 word=all,f=86
 word=be,f=86
 word=only,f=86
 word=when,f=86
 word=me,f=86
 word=can,f=85
 word=him,f=85
 word=most,f=85
 word=out,f=85
 word=over,f=85
 word=she,f=85
 word=would,f=85
 word=you,f=85
 word=good,f=85
 word=new,f=85
 word=about,f=84
 word=back,f=84
 word=some,f=84
 word=then,f=84
 word=there,f=84
 word=well,f=84
 word=year,f=84
 word=make,f=83
 word=them,f=83
 word=could,f=82
 word=go,f=82
 word=people,f=82
 word=these,f=82
 word=will,f=82
 word=work,f=82
 word=now,f=81
 word=so,f=81
 word=use,f=81
 word=what,f=81
 word=because,f=80
 word=come,f=80
 word=like,f=80
 word=my,f=80
 word=no,f=80
 word=up,f=80
 word=us,f=80
 word=day,f=80
 word=if,f=79
 word=its,f=79
 word=than,f=79
 word=even,f=78
 word=just,f=78
 word=way,f=78
 word=your,f=78
 word=do,f=77
 word=take,f=77
 word=see,f=76
 word=how,f=74
 word=also,f=72
 word=give,f=72
 word=want,f=72
 word=our,f=70
 word=know,f=69
 word=look,f=68
 word=say,f=68
 word=think,f=66
 word=is,f=50
 word=was,f=50
 word=are,f=46
 word=don't,f=46
 word=were,f=46
 word=had,f=45
 word=has,f=45
 word=very,f=45
 word=been,f=44
 word=more,f=43
 word=must,f=43
 word=between,f=42
 word=during,f=42
 word=made,f=42
 word=many,f=42
 word=part,f=42
 word=such,f=42
 word=under,f=42
 word=where,f=42
 word=against,f=41
 word=area,f=41
 word=before,f=41
 word=both,f=41
 word=fine,f=41
 word=may,f=41
 word=name,f=41
 word=number,f=41
 word=season,f=41
 word=second,f=41
 word=several,f=41
 word=team,f=41
 word=through,f=41
 word=until,f=41
 word=while,f=41
 word=May,f=41
 word=age,f=41
 word=city,f=41
 word=began,f=40
 word=born,f=40
 word=century,f=40
 word=did,f=40
 word=each,f=40
 word=early,f=40
 word=end,f=40
 word=family,f=40
 word=found,f=40
 word=four,f=40
 word=game,f=40
 word=group,f=40
 word=here,f=40
 word=high,f=40
 word=home,f=40
 word=large,f=40
